row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	pvd_nhood	pvd_wards
3767	2010-01-25	24255	17:14:00	Pedestrian	1	NA	FALSE	FALSE	1	WATERMAN ST	BROOK ST	1/25/10	One-Way Trafficway	Wet	Dark - Lighted	Rain	Other	No	Traffic Control Signal	3	1	Complains Of Pain	2	41.8274	-71.39933	FALSE	FALSE	Waterman Street and Brook Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.8274	-71.39933	College Hill	1
3766	2010-01-29	24528	15:26:00	Pedestrian	1	NA	FALSE	FALSE	1	PARK ST	SMITH ST	1/29/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	Traffic Control Signal	2	1	Complains Of Pain	2	41.83189	-71.41688	FALSE	FALSE	Park Street and Smith Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83189	-71.41688	Smith Hill	12
3764	2010-02-02	24722	16:35:00	Bicycle	NA	1	FALSE	FALSE	1	DYER ST	FRIENDSHIP ST	2/2/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	0	No Injury	NA	41.82305	-71.40832	FALSE	FALSE	Dyer Street and Friendship Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82305	-71.40832	Downtown	1
3765	2010-02-02	24732	20:31:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	DEAN ST	2/2/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	Person	2	1	Complains Of Pain	NA	41.82339	-71.4242	FALSE	FALSE	Atwells Ave and Dean Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82339	-71.4242	Federal Hill	13
3763	2010-02-06	24935	03:00:00	Pedestrian	1	NA	FALSE	FALSE	1	RICHMOND ST	weybosett st	2/6/10	One-Way Trafficway	Dry	Dark - Lighted	Clear	Head-On (Front - to - Front)	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82084	-71.41227	FALSE	FALSE	Richmond Street and Weybosett Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82084	-71.41227	Downtown	1
3762	2010-02-09	25089	07:20:00	Pedestrian	2	NA	FALSE	FALSE	1	Douglas Ave	FILLMORE ST	2/9/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	Person	3	2	Complains Of Pain	2	41.83718	-71.42232	FALSE	FALSE	Douglas Ave and Fillmore Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83718	-71.42232	Smith Hill	12
3760	2010-02-12	25290	01:43:00	Pedestrian	2	NA	FALSE	FALSE	1	HOPE ST	THAYER ST	2/12/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Angle (Front - to - Side) Same Direction	No	No Controls	6	2	Fatal	2	41.83372	-71.40133	FALSE	FALSE	Hope Street and Thayer Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83372	-71.40133	College Hill	2
3761	2010-02-12	25320	17:56:00	Pedestrian	1	NA	FALSE	FALSE	1	PLAINFIELD ST	DIKE ST	2/12/10	Two-Way , Not Divided	Dry	Dusk	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.81621	-71.44467	FALSE	FALSE	Plainfield Street and Dike Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.81621	-71.44467	Olneyville	15
3759	2010-02-14	25406	21:48:00	Pedestrian	2	NA	FALSE	FALSE	1	FRANCIS ST	AMERICAN EXPRESS PLZ	2/14/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	3	2	Incapacitating	NA	41.82745	-71.41541	FALSE	FALSE	Francis Street and American Express Plz, Providence, RI, USA	Med	Raw	TRUE	FALSE	Raw	41.82745	-71.41541	Downtown	12
3758	2010-02-19	25683	11:48:00	Pedestrian	1	NA	FALSE	FALSE	1	BENEFIT ST	WATERMAN ST	2/19/10	Two-Way , Not Divided	Dry	Daylight	Clear	Unknown	No	No Controls	2	1	Complains Of Pain	NA	41.82711	-71.40744	FALSE	FALSE	Benefit Street and Waterman Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82711	-71.40744	College Hill	2
3757	2010-02-20	25766	15:22:00	Bicycle	NA	1	FALSE	FALSE	1	MONTGOMERY AVE	BROAD ST	2/20/10	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Traffic Control Signal	3	1	Non-Incapacitating	NA	41.78589	-71.40169	FALSE	FALSE	Montgomery Ave and Broad Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.78589	-71.40169	Washington Park	10
3755	2010-02-24	25981	11:49:00	Pedestrian	2	NA	FALSE	FALSE	1	245 Lockwood St	W CLIFFORD ST	2/24/10	Two-Way , Not Divided	Wet	Daylight	Rain	Head-On (Front - to - Front)	Yes, M/V and Driver Left Scene	No Controls	3	2	Complains Of Pain	NA	41.81331	-71.41667	TRUE	FALSE	245 Lockwood Street, Providence, RI, USA	High	NA	FALSE	FALSE	Raw	41.81331	-71.41667	Upper South Providence	11
3756	2010-02-24	25990	09:51:00	Pedestrian	1	NA	FALSE	FALSE	1	DORRANCE ST	EXCHANGE TER	2/24/10	One-Way Trafficway	Wet	Daylight	Rain	Other	No	No Controls	2	1	Complains Of Pain	NA	41.82475	-71.41373	FALSE	FALSE	Dorrance Street and Exchange Ter, Providence, RI, USA	Med	Neither	TRUE	FALSE	Neither	41.825008	-71.414776	Downtown	1
3754	2010-03-01	26258	05:05:00	Pedestrian	1	NA	FALSE	FALSE	1	MEMORIAL BLVD	FRANCIS ST	3/1/10	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Lighted	Rain	Head-On (Front - to - Front)	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.8259	-71.41535	FALSE	FALSE	Memorial Blvd and Francis Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.8259	-71.41535	Downtown	12
3753	2010-03-02	26348	16:13:00	Pedestrian	1	NA	FALSE	FALSE	1	BRANCH AVE	EXIT	3/2/10	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Angle - Direction Not Specified	No	No Controls	3	1	Complains Of Pain	NA	41.85262	-71.42544	FALSE	FALSE	Branch Ave and Exit, Providence, RI, USA	Med	Raw	TRUE	FALSE	Raw	41.85262	-71.42544	Charles	4
3752	2010-03-03	27890	08:01:00	Pedestrian	1	NA	FALSE	FALSE	1	CHARLES ST	ASHBURTON ST	4/2/10	One-Way Trafficway	Snow	Daylight	Snow	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	4	1	Complains Of Pain	1	41.83664	-71.41272	FALSE	FALSE	Charles Street and Ashburton Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.83664	-71.41272	Mount Hope	3
3751	2010-03-06	26519	01:30:00	Bicycle	NA	1	FALSE	FALSE	1	WASHINGTON ST	DORRANCE ST	3/6/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Traffic Control Signal	3	0	No Injury	2	41.82445	-71.41277	FALSE	FALSE	Washington Street and Dorrance Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82445	-71.41277	Downtown	1
3750	2010-03-07	26568	01:26:00	Pedestrian	1	NA	FALSE	FALSE	1	UNION ST	WORCHESTER ST	3/7/10	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82396	-71.41448	FALSE	FALSE	Union Street and Worchester Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.82396	-71.41448	Downtown	1
3749	2010-03-10	27090	12:50:00	Bicycle	NA	1	FALSE	FALSE	1	PLENTY ST	ELMWOOD AVE	3/19/10	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	Traffic Control Signal	2	1	Complains Of Pain	2	41.80719	-71.42391	FALSE	FALSE	Plenty Street and Elmwood Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.80719	-71.42391	Elmwood	11
3748	2010-03-11	26793	18:28:00	Pedestrian	1	NA	FALSE	FALSE	1	WASHINGTON ST	MATHEWSON ST	3/11/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	Traffic Control Signal	4	1	Complains Of Pain	NA	41.82305	-71.4148	FALSE	FALSE	Washington Street and Mathewson Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82305	-71.4148	Downtown	1
3747	2010-03-12	26857	21:07:00	Pedestrian	1	NA	FALSE	FALSE	1	HOPE ST	MEETING ST	3/12/10	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Other	No	No Controls	2	1	Complains Of Pain	NA	41.82907	-71.39796	FALSE	FALSE	Hope Street and Meeting Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82907	-71.39796	College Hill	2
3746	2010-03-14	26921	23:06:00	Pedestrian	1	NA	FALSE	FALSE	1	ROANOKE ST	MOUNT PLEASANT AVE	3/14/10	One-Way Trafficway	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.83124	-71.44953	FALSE	FALSE	Roanoke Street and Mount Pleasant Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83124	-71.44953	Mount Pleasant	6
3745	2010-03-15	26963	19:22:00	Pedestrian	1	NA	FALSE	FALSE	1	HOPE ST	LAURISTON ST	3/15/10	Two-Way , Not Divided	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.84887	-71.39508	FALSE	FALSE	Hope Street and Lauriston Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.84887	-71.39508	Hope	3
3744	2010-03-17	27026	19:23:00	Pedestrian	1	NA	FALSE	FALSE	1	CHARLESFIELD STREET	BROWN ST	3/17/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	2	41.82375	-71.40154	FALSE	FALSE	Charlesfield Street and Brown Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82375	-71.40154	College Hill	2
3743	2010-03-18	27286	15:57:00	Pedestrian	2	NA	FALSE	FALSE	1	vally st/atwells ave	VALLEY ST	3/22/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	No Controls	3	2	Complains Of Pain	NA	41.82457	-71.43958	FALSE	FALSE	Vally St/Atwells Ave and Valley Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82457	-71.43958	Olneyville	12
3740	2010-03-19	27147	16:05:00	Pedestrian	1	NA	FALSE	FALSE	1	FISK ST	BROAD ST	3/19/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Non-Incapacitating	2	41.79072	-71.40562	FALSE	FALSE	Fisk Street and Broad Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.79072	-71.40562	Washington Park	10
3741	2010-03-19	27224	19:00:00	Bicycle	NA	1	FALSE	FALSE	1	BUCKLIN ST	PEACE ST	3/21/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.80652	-71.42783	FALSE	FALSE	Bucklin Street and Peace Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.80652	-71.42783	West End	8
3742	2010-03-19	27783	16:08:00	Pedestrian	1	NA	FALSE	FALSE	1	BRANCH AVE	RT146 On Ramp	3/30/10	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Other	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.85301	-71.42634	FALSE	FALSE	Branch Ave and Rt146 On Ramp, Providence, RI, USA	Med	Raw	TRUE	FALSE	Raw	41.85301	-71.42634	Wanskuck	4
3739	2010-03-21	27244	00:20:00	Pedestrian	1	NA	FALSE	FALSE	1	WALLACE ST	WEBSTER AVE	3/22/10	Two-Way , Not Divided	Dry	Daylight	Clear	Unknown	Yes, M/V and Driver Left Scene	No Controls	2	1	Incapacitating	NA	41.80936	-71.44876	FALSE	FALSE	Wallace Street and Webster Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.80936	-71.44876	Silver Lake	15
3738	2010-03-22	27251	09:16:00	Pedestrian	1	NA	FALSE	FALSE	1	72 ONTARIO ST	NA	3/22/10	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Non-Incapacitating	2	41.79966	-71.42008	TRUE	TRUE	72 Ontario Street, Providence, RI, USA	High	NA	FALSE	FALSE	Raw	41.79966	-71.42008	Elmwood	9
3736	2010-03-23	27414	18:02:00	Pedestrian	1	NA	FALSE	FALSE	1	PLAIN ST	SALISBURY ST	3/23/10	Two-Way , Not Divided	Wet	Daylight	Rain	Other	No	No Controls	3	1	Non-Incapacitating	NA	41.80578	-71.40966	FALSE	FALSE	Plain Street and Salisbury Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.80578	-71.40966	Lower South Providence	11
3737	2010-03-23	27881	10:50:00	Pedestrian	1	NA	FALSE	FALSE	1	130 DORRANCE ST	PINE ST	3/23/10	Two-Way , Not Divided	Wet	Daylight	Rain	Head-On (Front - to - Front)	No	No Controls	3	1	Complains Of Pain	2	41.82221	-71.40982	TRUE	FALSE	130 Dorrance Street, Providence, RI, USA	High	NA	FALSE	FALSE	Raw	41.82221	-71.40982	Downtown	1
3734	2010-03-25	27521	16:08:00	Bicycle	NA	1	FALSE	FALSE	1	BROADWAY	AMERICA ST	3/25/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	No Controls	3	1	Complains Of Pain	NA	41.82046	-71.42657	FALSE	FALSE	Broadway and America Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.82046	-71.42657	Federal Hill	13
3735	2010-03-25	32733	19:10:00	Bicycle	NA	1	FALSE	FALSE	1	ONTARIO ST	HAMILTON ST	6/17/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	2	41.79931	-71.42122	FALSE	FALSE	Ontario Street and Hamilton Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.79931	-71.42122	Elmwood	9
3733	2010-03-31	27810	18:26:00	Bicycle	NA	1	FALSE	FALSE	1	CHARLES ST	CHARLES ST	3/31/10	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Incapacitating	NA	41.83588	-71.41192	FALSE	FALSE	Charles Street and Charles Street, Providence, RI, USA	Med	Unknown	TRUE	TRUE	Raw	41.83588	-71.41192	Mount Hope	3
3731	2010-04-01	27840	12:59:00	Pedestrian	1	NA	FALSE	FALSE	1	SPRUCE ST	DE PASQUALE AVE	4/1/10	One-Way Trafficway	Dry	Daylight	Clear	Other	No	No Controls	4	1	Incapacitating	1	41.82429	-71.42657	FALSE	FALSE	Spruce Street and De Pasquale Ave, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.82429	-71.42657	Federal Hill	13
3732	2010-04-01	27864	18:35:00	Pedestrian	1	NA	FALSE	FALSE	1	WESTMINSTER ST	DEXTER ST	4/1/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	No Controls	3	1	Complains Of Pain	NA	41.81657	-71.43153	FALSE	FALSE	Westminster Street and Dexter Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.81657	-71.43153	Federal Hill	13
3730	2010-04-02	27904	15:50:00	Pedestrian	1	NA	FALSE	FALSE	1	CELIA ST	HARTFORD AVE	4/2/10	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Other	No	No Controls	3	1	Complains Of Pain	NA	41.82028	-71.46766	FALSE	FALSE	Celia Street and Hartford Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82028	-71.46766	Hartford	7
3729	2010-04-03	27950	07:57:00	Pedestrian	1	NA	FALSE	FALSE	1	GROVE ST	VINTON ST	4/3/10	One-Way Trafficway	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	No Controls	3	0	No Injury	NA	41.82075	-71.42856	FALSE	FALSE	Grove Street and Vinton Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82075	-71.42856	Federal Hill	13
3728	2010-04-04	28012	12:24:00	Bicycle	NA	1	FALSE	FALSE	1	BOOTH ST	DODGE ST	4/4/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	No Controls	2	1	Incapacitating	NA	41.81348	-71.42442	FALSE	FALSE	Booth Street and Dodge Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.81348	-71.42442	West End	11
3724	2010-04-05	28028	01:33:00	Pedestrian	1	NA	FALSE	FALSE	1	HAROLD ST	REGENT AVE	4/5/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	2	2	Complains Of Pain	2	41.82982	-71.43873	FALSE	FALSE	Harold Street and Regent Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82982	-71.43873	Valley	12
3725	2010-04-05	28036	12:03:00	Pedestrian	1	NA	FALSE	FALSE	1	ROCHAMBEAU AVE	BLACKSTONE BLVD	4/5/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	Stop Signs	3	1	Complains Of Pain	NA	41.84556	-71.38674	FALSE	FALSE	Rochambeau Ave and Blackstone Blvd, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.84556	-71.38674	Blackstone	2
3722	2010-04-07	28174	16:18:00	Pedestrian	1	NA	FALSE	FALSE	1	IVES STREET	WICKENDEN ST	4/7/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	No Controls	3	1	Complains Of Pain	2	41.82051	-71.39184	FALSE	FALSE	Ives Street and Wickenden Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82051	-71.39184	Fox Point	1
3723	2010-04-07	28252	16:17:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	THURBERS AVE	4/8/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.79816	-71.41462	FALSE	FALSE	Broad Street and Thurbers Ave, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.79816	-71.41462	Elmwood	9
3721	2010-04-08	28293	23:04:00	Pedestrian	2	NA	FALSE	FALSE	1	139 ALTHEA ST	CRANSTON ST	4/9/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	7	2	Incapacitating	2	41.80746	-71.43409	TRUE	FALSE	139 Althea Street, Providence, RI, USA	High	NA	FALSE	FALSE	Raw	41.80746	-71.43409	West End	8
3720	2010-04-09	28290	12:37:00	Pedestrian	1	NA	FALSE	FALSE	1	WASHINGTON ST	DORRANCE ST	4/9/10	Two-Way , Not Divided	Wet	Daylight	Rain	Other	No	Traffic Control Signal	2	1	Complains Of Pain	NA	41.82445	-71.41277	FALSE	FALSE	Washington Street and Dorrance Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82445	-71.41277	Downtown	1
3719	2010-04-10	28335	12:49:00	Pedestrian	1	NA	FALSE	FALSE	1	BROADWAY	SERVICE ROAD 8	4/10/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	Traffic Control Signal	2	1	Complains Of Pain	NA	41.82212	-71.41976	FALSE	FALSE	Broadway and Service Road 8, Providence, RI, USA	Med High	Raw	TRUE	FALSE	Raw	41.82212	-71.41976	Federal Hill	1
3718	2010-04-11	28358	00:39:00	Pedestrian	2	NA	FALSE	FALSE	1	BROAD ST	GALLUP ST	4/11/10	Two-Way, Not Divided With a Continuous Left Turn Lane	Dry	Dark - Lighted	Clear	Head-On (Front - to - Front)	Yes, M/V and Driver Left Scene	No Controls	5	2	Non-Incapacitating	NA	41.79933	-71.41607	FALSE	FALSE	Broad Street and Gallup Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.79933	-71.41607	Elmwood	9
3716	2010-04-13	28513	15:15:00	Bicycle	NA	1	FALSE	FALSE	1	HAZAEL ST	DOUGLAS AVE	4/13/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	2	1	Complains Of Pain	2	41.85409	-71.43917	FALSE	FALSE	Hazael Street and Douglas Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.85409	-71.43917	Wanskuck	14
3714	2010-04-15	28623	15:37:00	Pedestrian	1	NA	FALSE	FALSE	1	service rd 7/Carpenter st	SERVICE ROAD 7	4/15/10	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Complains Of Pain	NA	41.82112	-71.42068	FALSE	FALSE	Service Rd 7/Carpenter Street and Service Road 7, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82112	-71.42068	Federal Hill	13
3715	2010-04-15	28641	16:32:00	Pedestrian	1	NA	FALSE	FALSE	1	125 Knight Street	PENN ST	4/15/10	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Complains Of Pain	NA	41.82166	-71.43101	TRUE	FALSE	125 Knight Street, Providence, RI, USA	High	NA	FALSE	FALSE	Raw	41.82166	-71.43101	Federal Hill	13
