row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	pvd_nhood	pvd_wards	geoid20
16	2023-03-27	892318	12:51:00	Bicycle	NA	1	FALSE	FALSE	1	8TH ST	SUMMIT AVE	2023-03-27	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	Stop Signs	2	1	Non-Incapacitating	NA	41.85973	-71.47173	FALSE	FALSE	8th Street and Summit Ave, Providence, RI, USA	Med	Geocoded	FALSE	Amended	41.8529519	-71.396806	Hope	3	440070033001017
17	2023-03-21	891166	16:02:00	Pedestrian	1	NA	FALSE	FALSE	1	REGENT AVE	RIVER AVE	2023-03-21	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	4	1	Complains Of Pain	NA	41.83038	-71.43693	FALSE	FALSE	Regent Ave and River Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.83038	-71.43693	Valley	12	440070022002002
18	2023-03-19	891110	21:33:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	NEWTON ST	2023-03-19	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82327	-71.42236	FALSE	FALSE	Atwells Ave and Newton Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82327	-71.42236	Federal Hill	13	440070009001046
19	2023-03-19	891112	22:29:00	Bicycle	NA	1	FALSE	FALSE	1	BRIDGHAM ST	FALES ST	2023-03-19	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Other	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.81274	-71.42501	FALSE	FALSE	Bridgham Street and Fales Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.81274	-71.42501	West End	11	440070012003001
20	2023-03-18	891094	12:35:00	Pedestrian	2	NA	FALSE	FALSE	1	10 Sims Ave	NA	2023-03-18	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	2	Complains Of Pain	NA	NA	NA	TRUE	TRUE	10 Sims Ave, Providence, RI, USA	High	NA	FALSE	Amended	41.8270445	-71.4335016	Valley	13	440070025003028
21	2023-03-16	891003	08:09:00	Pedestrian	1	NA	FALSE	FALSE	1	BROADWAY	KNIGHT ST	2023-03-16	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.8198	-71.42936	FALSE	FALSE	Broadway and Knight Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.8198	-71.42936	Federal Hill	13	440070011001015
22	2023-03-14	890973	11:13:00	Pedestrian	1	NA	FALSE	FALSE	1	ROCHAMBEAU AVE	CAMP ST	2023-03-14	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	4	1	Complains Of Pain	NA	41.84645	-71.40074	FALSE	FALSE	Rochambeau Ave and Camp Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.84645	-71.40074	Mount Hope	3	440070032004000
23	2023-03-07	890820	19:28:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST.	FRICKER ST	2023-03-07	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Complains Of Pain	NA	41.81528	-71.42066	FALSE	FALSE	Broad St. and Fricker Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.81528	-71.42066	Upper South Providence	11	440070007003004
24	2023-03-06	890759	08:30:00	Pedestrian	1	NA	FALSE	FALSE	1	ADMIRAL ST	DOUGLAS AVE	2023-03-06	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Complains Of Pain	NA	41.84606	-71.42902	FALSE	FALSE	Admiral Street and Douglas Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.84606	-71.42902	Wanskuck	14	440070028012018
25	2023-03-06	890782	18:56:00	Pedestrian	1	NA	FALSE	FALSE	1	ELM ST.	EDDY ST.	2023-03-06	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	NA	NA	NA	FALSE	FALSE	Elm St. and Eddy St., Providence, RI, USA	Med	NA	FALSE	Amended	41.8182644	-71.40745489999999	Downtown	1	440070006001001
26	2023-03-04	890733	22:45:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	FRICKER ST	2023-03-04	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Non-Incapacitating	NA	41.81528	-71.42066	FALSE	FALSE	Broad Street and Fricker Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.81528	-71.42066	Upper South Providence	11	440070007003004
27	2023-03-03	890693	18:03:00	Pedestrian	1	NA	FALSE	FALSE	1	ELMWOOD AVE	POTTERS AVE	2023-03-03	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	0	No Injury	NA	41.80078	-71.42652	FALSE	FALSE	Elmwood Ave and Potters Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.80078	-71.42652	Elmwood	9	440070003012009
28	2023-03-02	890675	22:14:00	Pedestrian	1	NA	FALSE	FALSE	1	CHAPIN AVE	PARADE ST	2023-03-02	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Unknown	3	0	No Injury	NA	41.81189	-71.43117	FALSE	FALSE	Chapin Ave and Parade Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.81189	-71.43117	West End	13	440070013002003
29	2023-03-01	890631	17:51:00	Pedestrian	1	NA	FALSE	FALSE	1	5 ELMWOOD AVE	ELMWOOD AVE	2023-03-01	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	NA	NA	TRUE	FALSE	5 Elmwood Ave, Providence, RI, USA	High	NA	FALSE	Amended	41.8125918	-71.4228341	West End	11	440070012003000
30	2023-03-01	890638	19:58:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	BROAD ST	2023-03-01	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Complains Of Pain	NA	41.80587	-71.41983	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	Med	Cannot be determined	TRUE	Raw	41.80587	-71.41983	Elmwood	9	440070003022001
31	2023-02-25	889523	10:26:00	Pedestrian	1	NA	FALSE	FALSE	1	332 VALLEY ST	RILL ST	2023-02-25	Unknown	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82645	-71.4384	TRUE	FALSE	332 Valley Street, Providence, RI, USA	High	NA	FALSE	Raw	41.82645	-71.4384	Valley	12	440070022002017
32	2023-02-25	889549	18:32:00	Pedestrian	1	NA	FALSE	FALSE	1	PLAINFIELD ST	ATWOOD ST	2023-02-25	Two-Way , Not Divided	Wet	Dark - Lighted	Sleet, Hail (Freezing Rain or Drizzle)	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.81606	-71.44491	FALSE	FALSE	Plainfield Street and Atwood Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.81606	-71.44491	Olneyville	15	440070016012007
33	2023-02-22	889457	13:04:00	Pedestrian	1	NA	FALSE	FALSE	1	MEMORIAL BLVD	COLLEGE ST	2023-02-22	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.82551	-71.40906	FALSE	FALSE	Memorial Blvd and College Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82551	-71.40906	Downtown	1	440070008003004
34	2023-02-22	889474	19:32:00	Pedestrian	1	NA	FALSE	FALSE	1	POCASSET AVE	LAUREL HILL AVE	2023-02-22	Two-Way , Not Divided	Unknown	Unknown	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	6	1	Complains Of Pain	NA	41.81072	-71.4541	FALSE	FALSE	Pocasset Ave and Laurel Hill Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.81072	-71.4541	Silver Lake	7	440070017003014
35	2023-02-21	889436	10:31:00	Other	NA	NA	TRUE	FALSE	2	POWER ST	SOUTH MAIN STREET	2023-02-21	Two-Way , Not Divided	Wet	Daylight	Rain	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	2	1	Complains Of Pain	NA	41.82266	-71.40536	FALSE	FALSE	Power Street and South Main Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.82266	-71.40536	Fox Point	1	440070037002028
36	2023-02-21	889449	18:38:00	Pedestrian	1	NA	FALSE	FALSE	1	744 BRANCH AVE	NA	2023-02-21	Two-Way , Not Divided	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Complains Of Pain	NA	NA	NA	TRUE	TRUE	744 Branch Ave, Providence, RI, USA	High	NA	FALSE	Amended	41.8544786	-71.4305956	Wanskuck	4	440070028021012
37	2023-02-20	889415	18:56:00	Pedestrian	1	NA	FALSE	FALSE	1	Harris Ave	Delaine Street	2023-02-20	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.81919	-71.43881	FALSE	FALSE	Harris Ave and Delaine Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.81919	-71.43881	Olneyville	15	440070019001017
38	2023-02-18	889350	12:46:00	Pedestrian	1	NA	FALSE	FALSE	1	AMICA CENTER PARKING LOT (SABIN)	ATWELLS AVE	2023-02-18	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Person	2	1	Complains Of Pain	NA	41.82281	-71.41793	FALSE	FALSE	Amica Center Parking Lot (Sabin) and Atwells Ave, Providence, RI, USA	Med	NA	FALSE	Raw	41.82281	-71.41793	Downtown	1	440070008001061
39	2023-02-17	889326	18:44:00	Pedestrian	1	NA	FALSE	FALSE	1	LLOYD AVE.	HOPE ST	2023-02-17	Two-Way , Not Divided	Wet	Dark - Lighted	Sleet, Hail (Freezing Rain or Drizzle)	Rear End(Front-to-Rear)	No	No Controls	3	1	Complains Of Pain	NA	41.83156	-71.39974	FALSE	FALSE	Lloyd Ave. and Hope Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.83156	-71.39974	College Hill	2	440070036011000
40	2023-02-17	889330	19:30:00	Pedestrian	1	NA	FALSE	FALSE	1	dudley st	GAY ST	2023-02-17	Two-Way , Not Divided	Wet	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	2	1	Complains Of Pain	NA	41.81003	-71.4129	FALSE	FALSE	Dudley Street and Gay Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.81003	-71.4129	Upper South Providence	11	440070007002015
41	2023-02-16	889278	06:53:00	Pedestrian	1	NA	FALSE	FALSE	1	WICKENDEN ST	GOVERNOR ST	2023-02-16	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	NA	41.82036	-71.39367	FALSE	FALSE	Wickenden Street and Governor Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82036	-71.39367	Fox Point	1	440070037003014
42	2023-02-16	889281	14:16:00	Pedestrian	1	NA	FALSE	FALSE	1	264 Weybossett St	Snow St	2023-02-16	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	2	NA	NA	TRUE	FALSE	264 Weybossett Street, Providence, RI, USA	High	NA	FALSE	Amended	41.8207371	-71.413054	Downtown	1	440070008003067
43	2023-02-15	889267	18:07:00	Pedestrian	1	NA	FALSE	FALSE	1	SMITH ST.	GASPEE ST	2023-02-15	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Non-Incapacitating	NA	41.83154	-71.41297	FALSE	FALSE	Smith St. and Gaspee Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.83154	-71.41297	Downtown	12	440070031003025
44	2023-02-14	889235	19:36:00	Pedestrian	1	NA	FALSE	FALSE	1	Manton Ave	Sission Street	2023-02-14	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.82556	-71.45587	FALSE	FALSE	Manton Ave and Sission Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82556	-71.45587	Olneyville	6	440070020001023
45	2023-02-14	889244	18:09:00	Pedestrian	1	NA	FALSE	FALSE	1	ELMWOOD AVE.	CARTER ST	2023-02-14	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.7994	-71.4265	FALSE	FALSE	Elmwood Ave. and Carter Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.7994	-71.4265	Elmwood	9	440070003012009
46	2023-02-14	889245	21:53:00	Pedestrian	1	NA	FALSE	FALSE	1	NORTH MAIN ST.	DOYLE AVE	2023-02-14	Two-Way, Divided, Positive Median Barrier	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Fatal	NA	41.83914	-71.40906	FALSE	FALSE	North Main St. and Doyle Ave, Providence, RI, USA	Med	NA	FALSE	Raw	41.83914	-71.40906	Mount Hope	3	440070031002011
47	2023-02-10	889124	23:06:00	Pedestrian	1	NA	FALSE	FALSE	1	DEAN ST	W EXCHANGE ST	2023-02-10	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Incapacitating	NA	41.82543	-71.42583	FALSE	FALSE	Dean Street and W Exchange Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.82543	-71.42583	Federal Hill	13	440070009001004
48	2023-02-09	889070	07:54:00	Pedestrian	3	NA	FALSE	FALSE	1	NORTH MAIN ST	1ST ST	2023-02-09	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	3	Complains Of Pain	NA	41.84987	-71.40309	FALSE	FALSE	North Main Street and 1st Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.84987	-71.40309	Hope	3	440070033003008
49	2023-02-06	888997	NA	Bicycle	NA	1	FALSE	FALSE	1	Washington Street	EMPIRE ST	2023-02-06	Two-Way, Divided, Positive Median Barrier	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	4	1	Complains Of Pain	NA	41.82189	-71.41635	FALSE	FALSE	Washington Street and Empire Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.82189	-71.41635	Downtown	1	440070008003071
50	2023-02-05	888961	22:15:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	EUTAW ST	2023-02-05	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82354	-71.42615	FALSE	FALSE	Atwells Ave and Eutaw Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82354	-71.42615	Federal Hill	13	440070009001023
51	2023-02-03	888881	12:33:00	Pedestrian	1	NA	FALSE	FALSE	1	84 Carr St	CACTUS ST	2023-02-03	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.78827	-71.40722	TRUE	FALSE	84 Carr Street, Providence, RI, USA	High	NA	FALSE	Raw	41.78827	-71.40722	Washington Park	10	440070001022000
52	2023-01-31	888798	10:57:00	Pedestrian	1	NA	FALSE	FALSE	1	DORRANCE ST	FRIENDSHIP ST	2023-01-31	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Complains Of Pain	NA	41.80989	-71.42405	FALSE	FALSE	Dorrance Street and Friendship Street, Providence, RI, USA	Med High	Geocoded	FALSE	Amended	41.8220269	-71.40944019999999	Downtown	1	440070008003047
53	2023-01-31	888804	15:13:00	Pedestrian	1	NA	FALSE	FALSE	1	HAWKINS ST	BRANCH AVE	2023-01-31	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	1	Complains Of Pain	NA	41.8509	-71.42142	FALSE	FALSE	Hawkins Street and Branch Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.8509	-71.42142	Charles	4	440070029004005
54	2023-01-31	888807	18:14:00	Pedestrian	1	NA	FALSE	FALSE	1	EATON ST	ROSLYN AVE	2023-01-31	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Incapacitating	NA	41.84173	-71.43616	FALSE	FALSE	Eaton Street and Roslyn Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.84173	-71.43616	Elmhurst	5	440070023005003
55	2023-01-30	888758	01:52:00	Pedestrian	1	NA	FALSE	FALSE	1	HARTFORD AVE	HARTFORD AVE	2023-01-30	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.81718	-71.44905	FALSE	FALSE	Hartford Ave and Hartford Ave, Providence, RI, USA	Med	Cannot be determined	TRUE	Raw	41.81718	-71.44905	Hartford	7	440070016011006
56	2023-01-30	888785	23:13:00	Pedestrian	1	NA	FALSE	FALSE	1	ASHBURTON ST	I 95 N	2023-01-30	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	1	Complains Of Pain	NA	41.83678	-71.41422	FALSE	FALSE	Ashburton Street and I 95 N, Providence, RI, USA	Med High	Raw	FALSE	Raw	41.83678	-71.41422	Mount Hope	3	440070031003011
57	2023-01-27	888676	11:50:00	Pedestrian	1	NA	FALSE	FALSE	1	CRANSTON ST	NIANTIC AVE	2023-01-27	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	1	Complains Of Pain	NA	41.80339	-71.44	FALSE	FALSE	Cranston Street and Niantic Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.80339	-71.44	Reservoir	NA	440070141003007
58	2023-01-25	888630	09:26:00	Pedestrian	1	NA	FALSE	FALSE	1	Union Ave	UNION AVE EXIT	2023-01-25	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	0	No Injury	NA	41.8088	-71.44019	FALSE	FALSE	Union Ave and Union Ave Exit, Providence, RI, USA	Med	Raw	FALSE	Raw	41.8088	-71.44019	West End	8	440070014005003
